base,e3_simpleascii,msB_simpleascii,msA_simpleascii,allen_simpleascii
e3_simpleascii:9.483,0,0,5,1
e3_simpleascii:9.484,0,0,8,1
e3_simpleascii:9.485,0,0,0,1
e3_simpleascii:9.486,0,0,0,1
e3_simpleascii:9.487,0,0,6,3
e3_simpleascii:9.488,0,0,1,4
e3_simpleascii:9.489,0,0,8,2
e3_simpleascii:9.490,0,0,0,0
e3_simpleascii:9.491,0,0,10,0
e3_simpleascii:9.492,0,0,9,12
e3_simpleascii:9.493,0,0,0,0
e3_simpleascii:9.494,0,0,0,1
e3_simpleascii:9.495,0,0,8,1
e3_simpleascii:9.496,0,0,6,1
e3_simpleascii:9.497,0,0,6,0
e3_simpleascii:9.498,0,0,3,0
e3_simpleascii:9.499,0,0,10,0
e3_simpleascii:9.500,0,0,0,1
e3_simpleascii:9.501,0,0,8,0
e3_simpleascii:9.502,0,0,9,0
e3_simpleascii:9.503,0,0,9,2
e3_simpleascii:9.504,0,0,8,1
e3_simpleascii:9.505,0,0,3,1
e3_simpleascii:9.506,0,0,16,1
e3_simpleascii:9.507,0,0,17,2
e3_simpleascii:9.508,0,0,1,2
e3_simpleascii:9.509,0,0,18,3
e3_simpleascii:9.510,0,0,18,1
e3_simpleascii:9.511,0,0,0,1
e3_simpleascii:9.512,0,0,9,1
e3_simpleascii:9.513,0,0,5,1
e3_simpleascii:9.514,0,0,7,1
e3_simpleascii:9.515,0,0,0,2
e3_simpleascii:9.516,0,0,0,1
e3_simpleascii:9.517,0,0,14,2
e3_simpleascii:9.518,0,0,6,0
e3_simpleascii:9.519,0,0,7,3
e3_simpleascii:9.520,0,0,0,0
e3_simpleascii:9.521,0,0,0,0
e3_simpleascii:9.522,0,0,0,0
e3_simpleascii:9.523,0,0,17,2
e3_simpleascii:9.524,0,0,0,0
e3_simpleascii:9.525,0,0,5,1
e3_simpleascii:9.526,0,0,9,1
e3_simpleascii:9.527,0,0,9,0
e3_simpleascii:9.528,0,0,8,1
e3_simpleascii:9.529,0,0,0,1
e3_simpleascii:9.530,0,0,9,0
e3_simpleascii:9.531,0,0,0,0
e3_simpleascii:9.532,0,0,0,0
e3_simpleascii:9.533,0,0,0,0
e3_simpleascii:9.534,0,0,10,0
e3_simpleascii:9.535,0,0,15,4
e3_simpleascii:9.536,0,0,9,1
e3_simpleascii:9.537,0,0,15,1
e3_simpleascii:9.538,0,0,14,5
e3_simpleascii:9.539,0,0,11,0
e3_simpleascii:9.540,0,0,7,6
e3_simpleascii:9.541,0,0,6,1
e3_simpleascii:9.542,0,0,14,0
e3_simpleascii:9.543,0,0,1,2
e3_simpleascii:9.544,0,0,1,0
e3_simpleascii:9.545,0,0,2,2
e3_simpleascii:9.546,0,0,10,1
e3_simpleascii:9.547,0,0,3,2
e3_simpleascii:9.548,0,0,0,0
e3_simpleascii:9.549,0,0,11,1
e3_simpleascii:9.550,0,0,0,1
e3_simpleascii:9.551,0,0,2,0
e3_simpleascii:9.552,0,0,7,0
e3_simpleascii:9.553,0,0,5,1
e3_simpleascii:9.554,0,0,11,0
e3_simpleascii:9.555,0,0,0,0
e3_simpleascii:9.556,0,0,0,0
e3_simpleascii:9.557,0,0,9,0
e3_simpleascii:9.558,0,0,5,2
e3_simpleascii:9.559,0,0,0,0
e3_simpleascii:9.560,0,0,7,0
e3_simpleascii:9.561,0,0,0,1
e3_simpleascii:9.562,0,0,10,1
e3_simpleascii:9.563,0,0,7,1
e3_simpleascii:9.564,0,0,7,5
e3_simpleascii:9.565,0,0,13,0
e3_simpleascii:9.566,0,0,0,0
e3_simpleascii:9.567,0,0,7,6
e3_simpleascii:9.568,0,0,1,0
e3_simpleascii:9.569,0,0,0,1
e3_simpleascii:9.570,0,0,11,0
e3_simpleascii:9.571,0,0,9,1
e3_simpleascii:9.572,0,0,10,3
e3_simpleascii:9.573,0,0,7,1
e3_simpleascii:9.574,0,0,27,0
e3_simpleascii:9.575,0,0,7,0
e3_simpleascii:9.576,0,0,13,0
e3_simpleascii:9.577,0,0,0,0
e3_simpleascii:9.578,0,0,0,0
e3_simpleascii:9.579,0,0,15,0
e3_simpleascii:9.580,0,0,9,0
e3_simpleascii:9.581,0,0,9,0
e3_simpleascii:9.582,0,0,2,0
e3_simpleascii:9.583,0,0,13,0
e3_simpleascii:9.584,0,0,2,0
e3_simpleascii:9.585,0,0,3,5
e3_simpleascii:9.586,0,0,8,0
e3_simpleascii:9.587,0,0,13,2
e3_simpleascii:9.588,0,0,9,3
e3_simpleascii:9.589,0,0,0,0
e3_simpleascii:9.590,0,0,0,0
e3_simpleascii:9.591,0,0,10,1
e3_simpleascii:9.592,0,0,6,4
e3_simpleascii:9.593,0,0,9,0
e3_simpleascii:9.594,0,0,9,1
e3_simpleascii:9.595,0,0,5,1
e3_simpleascii:9.596,0,0,18,3
e3_simpleascii:9.597,0,0,4,4
e3_simpleascii:9.598,0,0,7,3
e3_simpleascii:9.599,0,0,15,1
e3_simpleascii:9.600,0,0,6,0
e3_simpleascii:9.601,0,0,9,0
e3_simpleascii:9.602,0,0,9,4
e3_simpleascii:9.603,0,0,11,0
e3_simpleascii:9.604,0,0,0,1
e3_simpleascii:9.605,0,0,10,1
e3_simpleascii:9.606,0,0,0,1
e3_simpleascii:9.607,0,0,15,0
e3_simpleascii:9.608,0,0,6,0
e3_simpleascii:9.609,0,0,0,2
e3_simpleascii:9.610,0,0,7,3
e3_simpleascii:9.611,0,0,5,1
e3_simpleascii:9.612,0,0,0,0
e3_simpleascii:9.613,0,0,6,0
e3_simpleascii:9.614,0,0,17,0
e3_simpleascii:9.615,0,0,8,1
e3_simpleascii:9.616,0,0,20,0
e3_simpleascii:9.617,0,0,11,2
e3_simpleascii:9.618,0,0,9,2
e3_simpleascii:9.619,0,0,9,4
e3_simpleascii:9.620,0,0,2,2
e3_simpleascii:9.621,0,0,6,0
e3_simpleascii:9.622,0,0,1,2
e3_simpleascii:9.623,0,0,7,1
e3_simpleascii:9.624,0,0,9,1
e3_simpleascii:9.625,0,0,6,0
e3_simpleascii:9.626,0,0,12,2
e3_simpleascii:9.627,0,0,6,0
e3_simpleascii:9.628,0,0,13,0
e3_simpleascii:9.629,0,0,0,0
e3_simpleascii:9.630,0,0,0,0
e3_simpleascii:9.631,0,0,10,0
e3_simpleascii:9.632,0,0,9,3
e3_simpleascii:9.633,0,0,10,0
e3_simpleascii:9.634,0,0,9,2
e3_simpleascii:9.635,0,0,0,1
e3_simpleascii:9.636,0,0,10,2
e3_simpleascii:9.637,0,0,6,0
e3_simpleascii:9.638,0,0,13,1
e3_simpleascii:9.639,0,0,12,6
e3_simpleascii:9.640,0,0,0,0
e3_simpleascii:9.641,0,0,0,0
e3_simpleascii:9.642,0,0,0,1
e3_simpleascii:9.643,0,0,0,1
e3_simpleascii:9.644,0,0,5,0
e3_simpleascii:9.645,0,0,11,2
e3_simpleascii:9.646,0,0,3,0
e3_simpleascii:9.647,0,0,9,1
e3_simpleascii:9.648,0,0,11,1
e3_simpleascii:9.649,0,0,9,1
e3_simpleascii:9.650,0,0,0,0
e3_simpleascii:9.651,0,0,0,1
e3_simpleascii:9.652,0,0,0,0
e3_simpleascii:9.653,0,0,12,1
e3_simpleascii:9.654,0,0,2,0
e3_simpleascii:9.655,0,0,4,0
e3_simpleascii:9.656,0,0,0,1
e3_simpleascii:9.657,0,0,5,1
e3_simpleascii:9.658,0,0,13,1
e3_simpleascii:9.659,0,0,9,0
e3_simpleascii:9.660,0,0,3,1
